"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Vesuvio Vivace","Vesuvio","Bianco","Fiore Romano","Colore giallo paglierino tenue, profumo intenso con spiccata evidenziazione della frutta vesuviana.","100% Coda di volpe","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Vesuvio Vivace","Vesuvio","Rosso","Fiore Romano","Colore rosso rubino, gusto fresco e sapido, con profumo di marasca.","100% Piedirosso","","D.O.C.","Via Mozzoni 35","Ottaviano","Napoli","40.860786, 14.476610","http://www.fioreromanovini.it/","081 827 8389","",
"Taurasi Riserva","Taurasi","Rosso","Case d'Alto","Vino dal colore intenso rosso rubino con riflessi granati, consistente e poco trasparente. Al naso è ricco e persistente con sentori di frutti rossi maturi, con profumi terzieri armoniosi e gradevoli, dalla speziatura alla tostatura. Al gusto appare caldo, con tannini presenti ma ammorbiditi dall’affinamento in legno e in bottiglia.","100% Aglianico","14,5%","D.O.C.G.","Corso Vittorio Veneto 3","Grottaminarda","Avellino","41.069382, 15.057950","http://www.casedalto.it/",3397000779,"",
"Greco di Tufo","Greco di Tufo","Bianco","Torricino","Vino dal colore giallo paglierino carico. Profumo fruttato, con sentori di albicocca e pesca. Sapore di grande persistenza, che ricorda i frutti maturi, elegante e ricco di acidità e mineralità.","100% Greco","13%","D.O.C.G.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Raone","Greco di Tufo","Bianco","Torricino","Vino dal colore giallo paglierino carico. Profumo fruttato, minerale, fenolico. Sapore di grande persistenza, che ricorda i frutti maturi, elegante e ricco di acidità e mineralità.","100% Greco","13,5%","D.O.C.G.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Fiano di Avellino","Fiano di Avellino","Bianco","Torricino","Vino dal colore giallo paglierino. Profumo fiori, frutta tropicale e nocciole tostate. Sapore di grande persistenza aromatica; corpo pieno, fresco ed equilibrato.","100% Fiano","13%","D.O.C.G.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Falanghina","Campania","Bianco","Torricino","Vino dal colore giallo paglierino con riflessi verdognoli. Profumo di fiori, mela verde, ananas e agrumi. Fresco eal palato con evidenti richiami floreali e fruttati.","100% Falanghina","13%","I.G.T.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Cevotiempo","Taurasi","Rosso","Torricino","Vino dal colore rosso rubino intenso con riflessi granati. Profumo di amarena, ciliegia sotto spirito, frutti di bosco, tabacco, pepe nero e note minerali. Di sapore morbido e complesso, di ricca struttura.","100% Aglianico","14%","D.O.C.G.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Aglianico","Irpinia","Rosso","Torricino","Vino dal colore rosso rubino intenso. Profumo di amarena e ciliegia sotto spirito. Si caratterizza per tannini tipicamente amari, note di frutta e un finale speziato.","100% Aglianico","13,5%","D.O.C.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Serrapiano","Fiano di Avellino","Bianco","Torricino","Vino dal colore giallo paglierino. Profumo fiori, frutta tropicale, nocciole tostate, fenolico. Sapore di grande persistenza aromatica; corpo pieno, fresco ed equilibrato.","100% Fiano","13,5%","D.O.C.","Località Torricino, 5","Tufo","Avellino","41.007955, 14.829458","http://www.torricino.it/",825.998119,"",
"Santa Vara","Taurasi","Rosso","La Molara","Offre un bouquet ampio ed intenso, con aromi speziati, tabacco, cuoio, cacao e note balsamiche. Elegante ed assai persistente al gusto.","100% Aglianico","14,5%","D.O.C.G.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Rosé","Irpinia","Rosato","La Molara","Accattivante colore di buccia di cipolla ramata, profumi freschi e fruttati con riconoscimenti di ciliegia e fragola. Vino fresco, vivace ma di struttura, persistente al gusto.","100% Aglianico","13%","D.O.C.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Naif Rosso","Campania","Rosso","La Molara","Piacevolmente fruttato, fragrante e profumato.","100% Aglianico","13%","I.G.T.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Vigna Claudia","Irpinia Campi Taurasini","Rosso","La Molara","Intenso ed avvolgente, con aromi di frutti rossi maturi.","100% Aglianico","13,5%","D.O.C.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Falanghina","Campania","Bianco","La Molara","Fresco ed intenso con una spiccata acidità.","100% Falanghina","12,5%","I.G.T.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Greco di Tufo","Greco di Tufo","Bianco","La Molara","Deciso ed intenso, con  note vegetali e sentori minerali. Presenta ottima acidità, grande morbidezza e sapidità.","100% Greco","13,5%","D.O.C.G.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Fiano di Avellino","Fiano di Avellino","Bianco","La Molara","Fruttato, complesso ed elegante, assai fine, intenso e persistente.","100% Fiano","14%","D.O.C.G.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Santa Vara Riserva","Taurasi","Rosso","La Molara","Offre un bouquet ampio ed intenso, con aromi speziati, tabacco, caffè, cacao e note balsamiche. Elegante ed assai persistente al gusto.","100% Aglianico","14,5%","D.O.C.G.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Irpinia","Irpinia","Bianco","La Molara","Di un giallo dorato intenso, presenta un naso estremamente complesso ed in continua evoluzione che spazia dai fiori di ginestra ed arancio alla frutta a polpa gialla, come pesca,melone e banana, con sbuffi iodati e di erbe aromatiche. in bocca è sapido ed assai persistente, con il giusto equilibrio tra la freschezza dell’acidità e la morbidezza dovuta all’alcool e all’affinamento in barrique.","50% Greco; 50% Fiano","14%","D.O.C.","Contrada Pesco","Luogosano","Avellino","40.985829, 14.994159","http://www.lamolara.it/","0827 78017","",
"Galluccio Nesso","Galluccio","Rosso","Palummo","Colore rosso, vino fermo e secco.","90% Aglianico; 10% Piedirosso","","D.O.C.","Via 5 Pietre","Galluccio","Caserta","41.339383, 13.944247","","089 221304","http://www.quattrocalici.it/produttori/palummo",
"Petreo","Galluccio","Rosso","Palummo","Colore rosso, vino fermo e secco.","85% Aglianico; 15% Piedirosso","","I.G.T.","Via 5 Pietre","Galluccio","Caserta","41.339383, 13.944247","","089 221304","http://www.quattrocalici.it/produttori/palummo",
"Taurasi","Taurasi","Rosso","Borgodangelo","Colore rosso, vino fermo e secco.","Aglianico","14%","D.O.C.G.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Greco di Tufo","Greco di Tufo","Bianco","Borgodangelo","","Greco","","D.O.C.G.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Fiano di Avellino","Fiano di Avellino","Bianco","Borgodangelo","","Fiano","","D.O.C.G.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Irpinia Rosato","Irpinia","Rosato","Borgodangelo","un vino intenso e carico di colore. Al palato è ricco di polpa e succoso, mentre al naso profuma di more, lamponi, fragoline di bosco e sfumature floreali.","100% Aglianico","","D.O.C.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Irpinia Campi Taurasini","Irpinia Campi Taurasini","Rosso","Borgodangelo","Asciutto, generoso, giustamente tannico.","100% Aglianico","13,5%","D.O.C.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Irpinia Aglianico","Irpinia","Rosso","Borgodangelo","","Aglianico","12,5%","D.O.C.","Località Taverna","Sant'Angelo all'Esca","Avellino","41.001617, 14.996230","http://www.borgodangelo.it/","0827 73027","https://www.facebook.com/Borgodangelo/",
"Petrale","Colli di Salerno","Rosso","Terra di Vento","Colore rosso rubino intenso; un bouquet complesso e intenso che ricorda la ciliegia, la lavanda, frutti di bosco e un peculiare aroma speziato di liquirizia e tabacco biondo. Sapore avvolgente e di elegante decisione in bocca, aroma di prugna, amarena, confettura di more e pepe nero.","100% Aglianico","13,5%","I.G.T.","Via Tevere","Montecorvino Pugliano","Salerno","40.651136, 14.923625","http://www.terradivento.it/","0828 354 597","",
"Faiano","Colli di Salerno","Bianco","Terra di Vento","Di colore paglierino, limpido, con riflessi verdi e dorati, profumi intensi di frutta matura, sentori dolci di ginestra e di nocciola; in bocca è fresco, giustamente alcolico, morbido con finale pieno e pulito.","100% Fiano","13,5%","I.G.T.","Via Tevere","Montecorvino Pugliano","Salerno","40.651136, 14.923625","http://www.terradivento.it/","0828 354 597","",
"Tecla Madre","Colli di Salerno","Rosato","Terra di Vento","Di colore rosa intenso e vivo, ricorda nettamente la fragola e la ciliegia al naso, si impone con una viva acidità al palato che pure è sostenuta da una buona morbidezza e sapidità.","100% Aglianico","13,5%","I.G.T.","Via Tevere","Montecorvino Pugliano","Salerno","40.651136, 14.923625","http://www.terradivento.it/","0828 354 597","",
"Lefkòs","Ischia","Bianco","Cenatiempo","","60% Biancolella; 40% Forastera","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Per 'e Palummo","Ischia","Rosso","Cenatiempo","","100% Piedirosso","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Ischia Bianco Superiore","Ischia","Bianco","Cenatiempo","","Biancolella; Forastera; altri vitigni autoctoni","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Forastera","Ischia","Bianco","Cenatiempo","","100% Forastera","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Biancolella","Ischia","Bianco","Cenatiempo","","100% Biancolella","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Màvros","Epomeo","Rosso","Cenatiempo","","60% Piedirosso; 40% altri vitigni autoctoni","","I.G.T.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Ischia Rosso","Ischia","Rosso","Cenatiempo","","Piedirosso; Guarnaccia; altri vitigni autoctoni","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Kalimera","Ischia","Bianco","Cenatiempo","","100% Biancolella","","D.O.C.","Via Baldassarre Cossa 84","Ischia","Napoli","40.743098, 13.933738","http://www.cenatiempovinidischia.it/","081 981107","",
"Masseria Cacciagalli","Roccamonfina","Rosso","I cacciagalli","","100% Aglianico","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Zagreo","Roccamonfina","Bianco","I cacciagalli","","100% Fiano","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Phos","Roccamonfina","Rosso","I cacciagalli","","100% Aglianico","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Mille","Roccamonfina","Rosso","I cacciagalli","","75% Piedirosso; 25% Aglianico","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Leneo","Roccamonfina","Bianco","I cacciagalli","","100% Falanghina","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Lucno","Roccamonfina","Rosso","I cacciagalli","","100% Piedirosso","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Aorivola","Roccamonfina","Bianco","I cacciagalli","","100% Falanghina","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Sphaeranera","Roccamonfina","Rosso","I cacciagalli","","100% Pallagrello Nero","","I.G.T.","Piazza della Vittoria 27","Teano","Caserta","41.252863, 14.067569","http://www.icacciagalli.it/it","0823 875216","",
"Taurasi","Taurasi","Rosso","Cantina Perillo","Al colore si presenta di un rubino cupo, intenso, a volte impenetrabile. Al naso si esprime in progressione con potenza e complessità, evidenziando note di prugna e ciliegia mature, nuances balsamiche di menta e resina, con sfumature minerali di terra bagnata e grafite. E’ consigliabile stapparlo con un pò di anticipo in modo da apprezzare a pieno tutte le sensazioni olfattive. Al gusto è ricco, caldo, avvolgente, sostenuto da una rinfrescante acidità e da tannini importanti per volume e fittezza.","100% Aglianico","","D.O.C.G.","Contrada Valle, 19","Castelfranci","Avellino","40.924148, 15.046102","",3471640170,"https://www.facebook.com/Cantina-Perillo-145843072180932/",
"Irpinia Campi Taurasini","Irpinia","Rosso","Cantina Perillo","Colore rubino intenso, mentre al naso è ricco di note fruttate, marasca e prugna soprattutto, a cui si aggiungono sfumature di tabacco e liquirizia. In bocca è pieno, strutturato, estremamente fresco e minerale, abbastanza tannico con un finale di frutta rossa e liquirizia.","100% Aglianico","","D.O.C.","Contrada Valle, 19","Castelfranci","Avellino","40.924148, 15.046102","",3471640170,"https://www.facebook.com/Cantina-Perillo-145843072180932/",
"Irpinia Coda di Volpe","Irpinia","Bianco","Cantina Perillo","Vino elegante e strutturato.","100% Coda di Volpe","","D.O.C.","Contrada Valle, 19","Castelfranci","Avellino","40.924148, 15.046102","",3471640170,"https://www.facebook.com/Cantina-Perillo-145843072180932/",
"Greco di Tufo","Greco di Tufo","Bianco","Cantina Calafé","Colore giallo paglierino intenso con riflessi verdeggianti, al naso presenta sentori varietali di albicocca e mandorla verde, nonché sentori idrocarburici che si accentuano con l'affinamento in bottiglia. In bocca grande freschezza e mineralità con un giusto tocco tannico che aiuta ad asciugare il palato.","100% Greco","13%","D.O.C.G.","Viale dei Fiori, 45","Prata di Principato Ultra","Avellino","40.988697, 14.830503","http://calafe.it/","0825 781010","",
"Ariavecchia","Greco di Tufo","Bianco","Cantina Calafé","Colore giallo paglierino intenso con riflessi verdi, anche dopo qualche anno. Al naso presenta sentori varietali di albicocca matura e mandorla amara: qui i sentori idrocarburici risultano più evidenti e decisi visto il maggiore periodo di affinamento in bottiglia rispetto al Greco di base. In bocca grande struttura e mineralità, ricordi di agrumi associati ad una evidente sapidità.","100% Greco","","D.O.C.G.","Viale dei Fiori, 45","Prata di Principato Ultra","Avellino","40.988697, 14.830503","http://calafe.it/","0825 781010","",
