"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Manfredi","Paestum","Rosso","Aglianico","Tenute del Fasanella","","100% Aglianico","13,5%","I.G.P.","Corso Apollo XI, 44","Sant'Angelo a Fasanella","Salerno","40.456470, 15.344385","http://www.tenutedelfasanella.it/","0828 961285","",
"","","","","Terra di Briganti","","","","","Contrada Tacceto, 6","Casalduni","Benevento","41.242702, 14.678651","http://www.terradibriganti.it/index.php","0824 85 63 88","",
"","","","","Terre Colte","","","","","Corso Dante Alighieri, 26","Luogosano","Avellino","40.985889, 14.991214","http://www.terrecolte.com/index.html","","",
"","","","","Terre D’Aglianico","","","","","via Mercuri II, 18","Torrecuso","Benevento","41.195125, 14.705500","http://www.terredaglianico.it/","0824 876317","",
"Primo della Corte","Irpinia","Rosso","Aglianico","Terre Irpine","Il colore è un bel rosso rubino carico, di notevole consistenza. All’olfatto esplode ampio ed elegante per note spezziate e frutti di bosco. I tannini giustamente percettibili accarezzano il palato in un finale asciutto, di interminabile persistenza.","100% Aglianico","","D.O.C.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Taurasi Riserva","Taurasi","Rosso","Taurasi Riserva","Terre Irpine","Il colore è un rosso rubino carico e consistente. Ampio, elegante, giustamente tannico, si sprigiona al palato corposo e di interminabile persistenza.","100% Aglianico","","D.O.C.G.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Terre Irpine","I tipici tratti gli conferiscono intensi profumi fruttati, minerali, floreali, in cui si riconosce la mela limoncella ed il biancospino.  In bocca erompe fragrante, di sapidità piacevole e notevole struttura.","100% Greco","","D.O.C.G.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Falanghina","Falanghina del Sannio","Bianco","Falanghina","Terre Irpine","Di colore paglierino tenue con riflessi verdognoli, si sprigiona avvolgente, armonico, delicatamente morbido, con tipiche sensazioni fruttate di pere, mele annurca, note boschive.  Al finale si presenta con persistente equilibrio gusto-olfattivo.","100% Falanghina","","D.O.C.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Terre Irpine","Di colore paglierino tenue con riflessi verdognoli, si sprigiona avvolgente, armonico, delicatamente morbido, con tipiche sensazioni fruttate di pere, mele annurca, note boschive.  Al finale si presenta con persistente equilibrio gusto-olfattivo.","100% Fiano","","D.O.C.G.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Aglianico Irpinia","Irpinia","Rosso","Aglianico","Terre Irpine","Colore rosso rubino intenso e luminoso, che con il procedere dell’invecchiamento mostra riflessi aranciati. Il profumo è ampio, gradevole, persistente, fruttato di marasca e di viola mammola. Il sapore è asciutto, armonico, vellutato, pieno, robusto.","100% Aglianico","","D.O.C.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Taurasi","Taurasi","Rosso","Taurasi","Terre Irpine","Il colore è un rosso rubino carico e consistente. Ampio, elegante, giustamente tannico, si sprigiona al palato corposo e di interminabile persistenza.","100% Aglianico","","D.O.C.G.","Piazza Municipio","Sturno","Avellino","41.023578, 15.124393","http://www.terreirpine.it/","0825 448774","",
"Piancastelli","Terre del Volturno","Rosso","","Terre del Principe","Colore rosso cupo, con riflessi rubino. Al naso presenta profumi di prugna secca, mora, cioccolato e pepe nero resi ancor più complessi da leggerissime note orientali di coriandolo e incenso. In bocca è morbido e fresco, con i tannini del Casavecchia ben equilibrati dal Pallagrello Nero. Nel finale, persistente, ritornano le piacevoli note aromatiche orientali.","70% Pallagrello Nero; 30% Casavecchia","13%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Il Sasso di Riccardo","Terre del Volturno","Rosso","","Terre del Principe","Il vino è di un bel colore viola, con delicatissimi odori che spaziano da note fruttate a sentori di ciliegia e amarena. Al gusto è caratterizzato da una buona freschezza sostenuta da una morbidezza non stucchevole che si esalta con i formaggi stagionati come il Conciato romano.","100% Casavecchia","13+2%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Ambruco","Terre del Volturno","Rosso","Pallagrello Nero","Terre del Principe","Vino potente ed elegante, di grande struttura, dal colore rubino carico. Al naso sopravanzano sentori balsamici che si aprono subito dopo a un’ampia sequenza di note che richiamano piccoli frutti di bosco ma anche pepe verde e cioccolato. In bocca è armonico, di grande struttura, con tannini di estrema eleganza ed equilibrio. La persistenza aromatica è lunghissima e sfuma lentamente in una scia speziata con ricordi di more e mirtilli.","100% Pallagrello Nero","13%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Fontanavigna","Terre del Volturno","Bianco","Pallagrello Bianco","Terre del Principe","Il vino è di colore giallo paglierino, brillante, al naso presenta profumi di frutta fresca con una dominanza di note di mela, ananas e melone. Al gusto è equilibrato, di buona persistenza aromatica con lungo finale di albicocca secca.","100% Pallagrello Bianco","13,5%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Centomoggia","Terre del Volturno","Rosso","Casavecchia","Terre del Principe","Vino di grande struttura, si presenta di colore rubino impenetrabile mentre al naso è molto intenso, con sentori un po’ selvatici e animali, che lasciano spazio ad un ampio spettro aromatico che richiama more e mirtilli ma anche spezie dolci come chiodi di garofano e liquirizia amara. Al gusto s’incontra una struttura densa, morbida e molto ricca, con tannini che infittiscono con eleganza la preziosa trama gustativa dalla persistenza aromatica lunghissima.","100% Casavecchia","13%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Le Sèrole","Terre del Volturno","Bianco","Pallagrello Bianco","Terre del Principe","Il vino è di colore giallo oro, al naso presenta delicate note di miele e di cere d’api. Al gusto è ricco morbido e grasso, caratterizzato da una lunga persistenza con prevalenza di aromi speziati, mandorla tostata e vaniglia.","100% Pallagrello Bianco","12,5%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Roseto del Volturno","Terre del Volturno","Rosato","","Terre del Principe","Il vino è di un bel colore rosa brillante, con delicatissimi odori che spaziano da note floreali di rosa canina a sentori di ciliegia e amarena. Al gusto è caratterizzato da una notevole freschezza sostenuta da una buona acidità che ne prolunga gradevolmente la persistenza.","50% Casavecchia; 50% Pallagrello Nero","13,5%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"Castello delle Femmine","Terre del Volturno","Rosso","","Terre del Principe","Vino dal colore rubino, luminoso. Al naso presenta profumi di confettura fresca, con una dominanza di lamponi e mirtilli. Al gusto, la freschezza e una buona struttura alcolica si armonizzano in un giusto equilibrio gustativo che rende questo vino adatto ad accompagnare l’intero pasto.","50% Casavecchia; 50% Pallagrello Nero","13,5%","I.G.T.","Via S.P. 325 SS Giovanni e Paolo, 30","Castel Campagnano","Caserta","41.171604, 14.426723","http://www.terredelprincipe.com/","0823 867126","",
"CampoRe Taurasi","Taurasi","Rosso","Taurasi","Terredora di Paolo","Di colore rubino intenso con riflessi granati, al naso offre un bouquet ampio e complesso, intenso, con note di ciliegia, frutti di bosco, sentori speziati di viola, tabacco e note minerali. Pieno e austero, vellutato e giustamente tannico, al palato si caratterizza con note di prugna, amarena e pepe nero. La notevole struttura lo rende particolarmente longevo.","100% Aglianico","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Aglianico Campania","Campania","Rosso","Aglianico","Terredora di Paolo","Di colore rubino brillante, ha profumi fruttati spiccatamente varietali di ciliegia, amarena e viola, con aromi speziati di cannella e vaniglia. Di media struttura, ha retrogusto equilibrato, con piacevoli note di amarena.","100% Aglianico","","I.G.T.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Ex Cinere Resurgo","Fiano di Avellino","Bianco","Fiano di Avellino","Terredora di Paolo","Di colore giallo paglierino intenso, ha eleganti e complessi profumi di frutti maturi e fiori, tra cui sentori di pera, albicocca, agrumi, nocciola tostata, acacia, biancospino e miele. Sapore di grande persistenza aromatica, corpo pieno, morbido ed equilibrato evolve positivamente negli anni.","100% Fiano","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"CampoRe Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Terredora di Paolo","Di ricca complessità strutturale e aromatica, ha colore giallo paglierino dai riflessi dorati, bouquet dagli ampi ed eleganti profumi di frutti maturi, dalla pera agli agrumi, e note finissime di miele, fiori di acacia e vaniglia. Di sapore morbido, complesso ed elegante e di ricca struttura, evolve positivamente negli anni.","100% Fiano","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Terre degli Angeli","Greco di Tufo","Bianco","Greco di Tufo","Terredora di Paolo","i colore giallo paglierino intenso, ha eleganti profumi fruttati di mela, pesca, albicocca e lievi note vegetali. Morbido al palato, si apprezza un’ottima acidità ed un’elegante struttura con sensazioni che ricordano frutti maturi e sentori di mandorla amara.","100% Greco","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Rosaenovae","Irpinia","Rosato","","Terredora di Paolo","Di colore rosa pallido, ha bouquet elegante con note aromatiche fruttate tipiche del vitigno, ciliegia, frutti rossi e albicocca. Al palato è equilibrato, secco, di grande persistenza con sentori di pesca e retrogusto di fragola e minerali.","100% Aglianico","","D.O.C.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Il Principio","Irpinia","Rosso","Aglianico","Terredora di Paolo","Di colore rubino intenso dai riflessi violacei, ha profumi intensi, fruttati con note varietali di amarena, mora selvatica e prugna, sentori speziati e tostati. Elegante e morbido, ha lunghezza sorprendente con piacevoli note di frutti rossi maturi. Di notevole struttura, è adatto ad una lunga conservazione.","100% Aglianico","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Passito","Campania","Bianco","Passito","Terredora di Paolo","Vino da dessert, è di colore giallo dorato, dalla ricca complessità aromatica: miele, camomilla, pesca matura, fiori di acacia, vaniglia. Al palato è ben strutturato, elegante, dai toni dolci, vena austera e sentori che ricordano la nocciola tostata.","100% Fiano","","I.G.T.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Loggia della Serra","Greco di Tufo","Bianco","Greco di Tufo","Terredora di Paolo","Di ricca complessità strutturale ed aromatica, ha colore giallo paglierino intenso, eleganti e complessi profumi fruttati di albicocca, mela, pesca ed agrumi. Sapore di grande persistenza aromatica che ricorda frutti maturi, corpo pieno, morbido ed equilibrato dall’ottima acidità, evolve positivamente negli anni.","100% Greco","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Il Bianco Terredora","Campania","Bianco","","Terredora di Paolo","Di colore giallo paglierino, ha intensi profumi di fiori bianchi e pera che ricordano il Fiano, lime e mela che rievocano la Falanghina, pesca gialla e agrumi che rimandano al Greco; si contraddistingue per rotondità, vivacità e mineralità.","Falanghina; Fiano; greco","","I.G.T.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Il Rosso Terredora","Campania","Rosso","","Terredora di Paolo","Di colore rubino brillante, ha profumi fruttati spiccatamente varietali di ciliegia, amarena e viola, con aromi speziati di cannella e vaniglia. Di media struttura, ha retrogusto equilibrato, con piacevoli note di amarena.","100% Aglianico","","I.G.T.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Corte di Giso","Irpinia","Bianco","Falanghina","Terredora di Paolo","Di colore giallo paglierino, ha ricchi ed intensi profumi floreali e fruttati, mela, ananas e frutta gialla. Fresca al palato, si apprezza per un’ottima acidità ben equilibrata dalla struttura del vino.","100% Falanghina","","D.O.C.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","Lacryma Christi","Terredora di Paolo","Di colore rubino intenso con riflessi violacei, ha profumi intensi di ciliegia, lamponi, ribes, sentori speziati, minerali e chiodi di garofano. Elegante e morbido, al palato offre piacevoli note di frutti rossi maturi, prugna e sentori di tabacco, caffè e pepe macinato.","100% Piedirosso","","D.O.C.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","Lacryma Christi","Terredora di Paolo","Di colore giallo paglierino, ha fini ed intensi profumi di frutti maturi, ananas, pesca bianca, ginestra ed un tipico aroma di liquirizia; morbido e ben strutturato, al palato offre sentori di frutta e note minerali.","100% Coda di Volpe","","D.O.C.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Coda di Volpe Campania","Campania","Bianco","Coda di Volpe","Terredora di Paolo","Di colore giallo paglierino, ha fini ed intensi profumi fruttati e floreali; morbido e fresco al palato, ha sentori di agrumi e mela cotogna.","100% Coda di Volpe","","I.G.T.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Falanghina Campania","Campania","Bianco","Falanghina","Terredora di Paolo","Di colore giallo paglierino con riflessi verdognoli, ha intensi profumi fruttati di mela verde, ananas e agrumi. Fresca al palato, si apprezza per un’ottima acidità ben equilibrata dalla struttura del vino.","100% Falanghina","","D.O.C.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
"Pago dei Fusi","Taurasi","Rosso","Taurasi","Terredora di Paolo","Colore rubino intenso, bouquet ampio e complesso con aromi di ciliegia matura, sentori di spezie dolci, prugna, tabacco, pepe, catrame. Pieno, morbido e vellutato al palato, si caratterizza per tannini dolci ed eleganti, lunghe note di frutta e un finale speziato. Di notevole struttura, è molto longevo.","100% Aglianico","","D.O.C.G.","Via Serra, 2","Montefusco","Avellino","41.023432, 14.880754","http://www.terredora.com/","0825 968215","",
